lat,long,date,time,region
16.2244,119.8625,15/07/2023,09:20:00,Pangasinan
16.2334,119.8578,15/07/2023,10:55:00,Pangasinan
16.237,119.8052,15/07/2023,17:30:00,Pangasinan
14.62008,121.2094,15/07/2023,15:00:00,Rizal
14.6097,121.1613,16/07/2023,20:00:00,Rizal
11.1636,119.4139,14/07/2023,14:30:00,Palawan
10.4769,121.9295,17/07/2023,07:00:00,Antique
16.5545,120.4777,31/05/2023,10:00:00,La Union
16.7629,120.5108,31/05/2023,11:00:00,La Union
16.6341,120.3293,01/06/2023,05:52:00,La Union
16.6233,120.4867,31/05/2023,16:00:00,La Union
17.1328,120.67606,30/05/2023,19:00:00,Ilocos Sur
7.3911,125.975,25/12/2022,08:24:00,Davao de Oro
7.4035,126.0136,25/12/2022,00:00:00,Davao de Oro
7.3575,125.8802,26/12/2022,05:20:00,Davao de Oro
7.3011,125.9712,25/12/2022,10:56:00,Davao de Oro
7.2531,125.9906,25/12/2022,10:56:00,Davao de Oro
7.2871,126.1451,27/12/2022,09:41:00,Davao de Oro
7.008,126.2853,27/12/2022,11:10:00,Davao Oriental
13.7299,123.5921,18/12/2022,12:00:00,Camarines Sur
13.771,123.7502,19/12/2022,16:02:00,Camarines Sur
13.7273,123.7398,19/12/2022,10:28:00,Camarines Sur
13.8026,122.9023,19/12/2022,09:26:00,Camarines Sur
13.9352,123.6601,19/12/2022,11:00:00,Camarines Sur
14.18809,122.92357,19/12/2022,09:30:00,Camarines Norte
14.28588,122.6758,18/12/2022,18:20:00,Camarines Norte
18.1301,121.6802,23/02/2023,10:00:00,Cagayan
13.9052,124.325,19/02/2023,11:00:00,Catanduanes
13.7647,124.1314,19/02/2023,07:30:00,Catanduanes
13.6275,124.3077,19/02/2023,00:00:00,Catanduanes
13.7727,123.8391,19/02/2023,11:00:00,Camarines Sur
13.8021,124.4149,19/02/2023,11:00:00,Catanduanes
13.8731,124.3332,19/02/2023,11:00:00,Catanduanes
12.8409,123.9831,18/02/2023,21:00:00,Sorsogon
12.9773,123.8953,18/02/2023,10:00:00,Sorsogon
11.2923,122.5841,15/02/2023,13:00:00,Capiz
9.9323,122.6042,14/02/2023,16:00:00,Negros Occidental
10.9781,124.7491,18/02/2023,08:00:00,Leyte
8.6006,123.433,14/02/2023,23:00:00,Zamboanga del Norte
8.479,123.3227,16/02/2023,07:00:00,Zamboanga del Norte
7.891,126.0626,18/02/2023,08:00:00,Davao de Oro
7.8197,126.1773,18/02/2023,10:00:00,Davao de Oro
7.8413,125.9816,18/02/2023,09:45:00,Davao de Oro
7.6844,126.1114,18/02/2023,08:00:00,Davao de Oro
7.4149,125.9845,18/02/2023,09:48:00,Davao de Oro
6.9865,125.1641,14/02/2023,11:00:00,North Cotabato
6.1113,125.514,13/02/2023,21:00:00,Sarangani
8.9167,125.6435,18/02/2023,00:28:00,Caraga
8.932,125.6598,18/02/2023,04:23:00,Caraga
14.0433,121.2506,29/10/2022,18:00:00,Laguna
14.2311,121.5081,29/10/2022,08:30:00,Laguna
14.1571,121.3718,29/10/2022,23:00:00,Laguna
14.4084,121.4052,29/10/2022,11:00:00,Laguna
14.0871,121.409,29/10/2022,10:30:00,Laguna
11.8561,119.9404,29/10/2022,10:00:00,Palawan
12.2512,120.0102,29/10/2022,18:51:00,Palawan
10.4526,123.0553,28/10/2022,10:00:00,Negros Occidental
10.3751,123.8524,30/10/2022,07:10:00,Central Visayas
10.3981,123.9047,30/10/2022,00:30:00,Central Visayas
10.4094,123.8681,29/10/2022,14:10:00,Central Visayas
10.3322,123.8835,29/10/2022,11:40:00,Central Visayas
10.3367,123.8425,29/10/2022,10:34:00,Central Visayas
10.3292,123.8872,28/10/2022,13:41:00,Central Visayas
10.4278,123.8889,28/10/2022,12:28:00,Central Visayas
10.3957,123.8508,28/10/2022,12:04:00,Central Visayas
10.3771,123.9195,28/10/2022,11:24:00,Central Visayas
10.3353,123.8725,28/10/2022,09:30:00,Central Visayas
10.4141,123.8722,28/10/2022,07:06:00,Central Visayas
10.4249,123.9149,27/10/2022,15:17:00,Central Visayas
10.4346,123.9097,27/10/2022,14:47:00,Central Visayas
10.4416,123.8387,26/10/2022,15:28:00,Central Visayas
10.3367,123.8425,26/10/2022,14:53:00,Central Visayas
10.3151,123.8485,26/10/2022,13:53:00,Central Visayas
10.3476,123.913,26/10/2022,12:26:00,Central Visayas
9.9781,125.2745,29/10/2022,09:36:00,Southern Leyte
8.2249,123.1103,27/10/2022,23:00:00,Zamboanga del Norte
9.5887,125.4111,27/10/2022,12:00:00,Surigao del Norte
6.8556,124.1437,27/10/2022,04:38:00,Maguindanao del Sur
18.4653,121.3413,17/10/2022,11:40:00,Cagayan
16.6017,120.3894,03/09/2022,13:32:00,La Union
16.5789,120.3843,03/09/2022,16:59:00,La Union
16.621,120.4606,03/09/2022,13:00:00,La Union
16.8787,120.5112,03/09/2022,18:00:00,Ilocos Sur
16.4111,16.4111,02/09/2022,18:30:00,Borkou
16.4168,120.6151,03/09/2022,21:14:00,Cordillera Administrative Region
18.5601,120.7887,22/08/2022,19:00:00,Ilocos Norte
16.5806,120.4723,22/08/2022,15:00:00,La Union
16.5726,120.3783,23/08/2022,18:37:00,La Union
17.5257,120.3945,23/08/2022,22:00:00,Ilocos Sur
14.587,121.1758,23/08/2022,18:40:00,Rizal
13.2293,123.5685,22/08/2022,12:00:00,Albay
13.1954,123.5935,22/08/2022,12:00:00,Albay
13.17,123.6065,30/07/2022,08:30:00,Albay
7.0587,125.569,16/12/2021,12:13:00,Davao Region
8.8483,125.5276,17/12/2021,10:00:00,Caraga
8.932,125.6598,18/12/2021,05:50:00,Caraga
8.8259,125.6261,19/12/2021,16:00:00,Caraga
7.7946,124.1672,16/12/2021,15:48:00,Lanao del Sur
11.438,122.9934,11/04/2022,23:00:00,Capiz
11.3843,123.0574,11/04/2022,17:00:00,Iloilo
11.2198,122.5726,11/04/2022,18:00:00,Iloilo
11.1711,122.569,11/04/2022,18:00:00,Iloilo
11.1604,122.4237,12/04/2022,13:30:00,Iloilo
